block,recommended_visuals
RecommendationConfidence,"decision_card, role_decision_card"
EvidenceStateSummary,"evidence_state_bar, confidence_cap_card"
DimensionGap,"gap_rows, gap_matrix, gap_to_action_rows"
MatchBench,"evidence_map_table, requirement_coverage_matrix"
ClaimLedger,"audit_table, evidence_upgrade_queue, source_manifest"
ActionPlan,"checklist, timeline, owner_map"
ObjectionResponse,"objection_table, stakeholder_challenge_table"
ProvenanceTrace,"evidence_path, source_manifest, appendix_tree"
OpportunityList,"ranked_table, filtered_pipeline, opportunity_cards"
ComparisonMatrix,"matrix, priority_quadrant, scatter"
NetworkMap,"network_graph, partner_gap_map"
TransferLanes,"lane_board, claim_transfer_table"
EconomicCaseBlock,"value_driver_cards, assumptions_ledger, npv_waterfall, sensitivity_tornado"
SnapshotBrief,"board_pack_preview, one_slide_summary"
ReasoningTrace,"stepper, chain_of_thought_trace, status_timeline"
